thank you for watching.,"['thank', 'for', '.']"
since the succession is not due to to pope's death.,"['the', 'is', 'not', 'due', 'to', 'to', ""'s"", '.']"
he alone is the head of the church.,"['alone', 'is', 'the', 'of', '.', 'the']"
has to make the rules as the succession goes forward.,"['has', 'make', 'the', 'as', 'the', 'goes', '.']"
the last day is supposed to be next thursday.,"['last', 'day', 'is', 'supposed', 'to', 'next', 'thursday', '.']"
less than a week to go before the sequester cuts.,"['less', 'go', '.', 'a', 'the', 'to', 'sequester']"
can we expect any movement before late next week?,"['can', 'expect', 'any', 'before', 'late', 'week', '?']"
we'll ask the fox all-stars when we come back.,"[""'ll"", 'ask', 'the', 'all-stars', 'when', 'we', 'come', '.']"
look what mommy is having.,"['look', 'mommy', 'is', 'having', '.']"
"100% vegetable juice, with three of your daily vegetable servings in every little bottle.otherworldly things.","['vegetable', '%', '.', 'little', '100', 'of', 'juice', 'bottle.otherworldly', 'in', 'with', 'your', 'every', 'vegetable']"
but there are some things i've never seen before.,"['there', 'some', 'things', ""'ve"", 'never', 'seen', 'before', '.']"
"this ge jet engine can understand 5,000 data samples per second.","['ge', 'jet', 'engine', 'can', 'understand', '5,000', 'data', 'samples', 'per', '.']"
which is good for business.,"['is', 'good', 'for', '.']"
"because planes use less fuel, spend less time on the ground and more time in the air.","['planes', 'use', 'less', 'fuel', ',', 'less', 'time', 'on', 'the', 'and', 'time', 'in', 'air', '.']"
"suddenly, faraway places don't seem so...far away.","['suddenly', 'faraway', 'places', 'do', ""n't"", 'seem', 'so', '...', 'away', '.']"
"suddenly, faraway places don't seem so...far away.so, i'm working on a cistern intake valve, and the guy hands me a locknut wrench.","['away.so', 'on', 'a', 'so', 'guy', ',', 'seem', ',', 'suddenly', 'me', 'the', 'cistern', ""n't"", ""'m"", 'intake', '...', 'do', 'hands', 'faraway', '.', 'locknut', 'places']"
no way!,"['way', '!']"
"i'm like, what is this, a drainpipe slipknot?","['i', ""'m"", ',', 'is', ',', 'a', 'slipknot']"
"wherever your business takes you, nobody keeps you on the rd like progressive commercial auto.","['wherever', 'business', 'takes', 'you', 'nobody', 'you', 'on', 'the', 'like', 'commercial', '.']"
[ shouting in japanese ] we work wherever you work.,"['[', 'shouting', 'japanese', ']', 'we', 'wherever', 'you', 'work']"
living with moderate to semeans living with pain.is it could also mean living with joint damage.,"['living', 'moderate', 'to', 'living', 'with', 'pain.is', 'could', 'also', 'living', 'with', 'joint', 'damage', '.']"
"humira, adalimumab, can help treat more than just the pain.","['humira', 'adalimumab', ',', 'help', 'treat', 'more', 'than', 'just', 'pain', '.']"
"for many adults, humira is clinically proven to help relieve pain and stop further joint damage.","['many', 'adults', ',', 'is', 'clinically', 'proven', 'to', 'help', 'pain', 'and', 'stop', 'further', 'damage', '.']"
"humira can lower your abilitto fight infections, including tuberculosis.","['humira', 'can', 'lower', 'abilitto', 'fight', 'infections', ',', 'tuberculosis', '.']"
"serious, sometimes fatal events, such as infections, lymphoma, or other types of cancer, have happened.","['serious', 'sometimes', 'fatal', 'events', ',', 'as', 'infections', 'lymphoma', ',', 'other', 'types', 'cancer', 'have', 'happened', '.']"
"blood, liver and nervous system problems,serious allergic reactions, and new or worsening heart failure have occurred.","['blood', 'liver', 'and', 'system', 'problems', ',', 'serious', 'reactions', ',', 'and', 'new', 'worsening', 'failure', 'have', '.']"
"before starting humira, your doctor should test you for tb.","['starting', 'humira', ',', 'doctor', 'test', 'you', 'for', 'tb']"
ask your doctor if you live in or have been to a region where certain fungal infections are common.,"['ask', 'doctor', 'if', 'live', 'or', 'have', 'to', 'region', 'where', 'certain', 'infections', 'common', '.']"
"tell your doctor if you have had tb, hepatitis b, are prone to infections or have symptoms such as fever, fatigue, cough, or sores.","['tell', 'doctor', 'if', 'have', 'tb', ',', 'hepatitis', 'b', 'are', 'prone', 'to', 'or', 'have', 'symptoms', 'as', 'fever', 'fatigue', ',', 'cough', ',', 'sores', '.']"
you should not start humira if you have any kind of infection.,"['should', 'not', 'start', 'humira', 'if', 'have', 'kind', 'of', '.']"
"ask your rheumatologist about humira, to help relieve your pain and stop further joint damage.","['ask', 'rheumatologist', 'about', ',', 'to', 'relieve', 'pain', 'and', 'stop', 'joint', 'damage']"
the overall effect on the economy is slow down the recovery.,"['overall', 'effect', 'on', 'economy', 'slow', 'down', 'the', 'recovery']"
not only end up being direct job loss but because the economy is softer it means we won't be driving down unemployment as quickly as we should.,"['not', 'only', 'end', 'being', 'direct', 'job', 'loss', 'but', 'the', 'is', 'it', 'means', 'we', 'wo', 'be', 'driving', 'unemployment', 'as', 'quickly', 'as', 'we', 'should', '.']"
are you willing to see a bunch of first responders lose their jobs?,"['willing', 'jobs', 'are', 'a', 'first', 'to', 'responders', 'their', 'bunch', '?']"
teachers laid off?,"['teachers', 'laid', '?']"
"air traffic controllers andairport security, hardship on a lot of people.","['controllers', 'traffic', 'andairport', 'on', 'lot', 'air', 'people', '.', 'security', 'hardship']"
"seep yours, middle class families scram to believe find child care for their kids.","['seep', 'yours', 'middle', 'class', 'families', 'scram', 'to', 'find', 'child', 'care', 'for', 'their', '.']"
bad idea.,"['bad', 'idea']"
a bad idea.,"['bad', 'idea', '.']"
the sequester was the administration's idea.,"['sequester', 'was', 'the', ""'s"", 'idea']"
in they were president obama's idea.,"['they', 'president', 'obama', ""'s"", 'idea']"
"the so-called ""sequester"" was obama's idea in the first place.","['so-called', '``', ""''"", 'was', ""'s"", 'idea', 'the', 'first', 'place']"
he signed it in to law.,"['signed', 'it', 'to', '.']"
white house lemede recommendd this.,"['white', 'house', 'lemede', 'recommendd', '.']"
"conservative group crossroad gps launched that ad today, that video.","['conservative', 'group', 'crossroad', 'gps', 'launched', 'ad', 'today', ',', 'video']"
before that you saw the president at the white house.,"['that', 'saw', 'president', 'at', 'white', 'house']"
answering president at appearance with the japanese prime minister.,"['answering', 'president', 'appearance', 'with', 'japanese', 'minister', '.']"
bring in our panel.,"['bring', 'our', '.']"
"fredbars, ""weekly standard.""","['fredbars', '``', 'standard', '.', ""''""]"
"juan williams, columnist with the hill.","['juan', 'williams', 'columnist', 'with', 'hill']"
syndicated columnist charles krauthammer.,"['syndicated', 'columnist', 'charles', 'krauthammer']"
"fred, where do you think it stands?","['fred', 'where', 'do', 'you', 'it', 'stands']"
what happens?,"['happens', '?']"
sequest her go in effect.,"['sequest', 'go', 'in', '.']"
it's interesting that president obama misjudgeedboth situation and where the republican interest actually lies in this.,"[""'s"", 'interesting', 'that', 'obama', 'misjudgeedboth', 'and', 'the', 'republican', 'actually', 'lies', 'this', '.']"
this is different from the fiscal cliff.,"['from', 'fiscal', 'is', '.', 'different']"
the republicans did nothing then and they got tax hikes which they don't like.,"['they', 'and', 'did', 'then', 'hikes', 'republicans', 'nothing', 'which', 'do', 'like', 'got']"
here they do nothing and they get spending cuts which they do like that.,"['here', 'do', 'nothing', 'and', 'get', 'cuts', 'which', 'they', 'do', 'that']"
is part of their agenda.,"['is', 'part', 'their', '.']"
"the public, rasmussen has a poll that only a third of americans want to have the sequester not go in to effect.","['public', ',', 'has', 'a', 'poll', 'only', 'a', 'of', 'americans', 'to', 'have', 'sequester', 'not', 'go', 'to', 'effect']"
they worry about the automatic cuts.,"['worry', 'about', 'automatic', '.']"
that sounds about right.,"['sounds', 'about', 'right', '.']"
"they seem to be, the public has grown immune or somewhat immune to the claims that relatively small cuts, $85 billion is one-half of 1%.","['seem', 'to', ',', 'the', 'has', 'immune', 'or', 'somewhat', 'immune', 'to', 'claims', 'that', 'relatively', 'cuts', '$', '85', 'is', 'one-half', 'of', '1', '.']"
of all federal spending.,"['all', 'spending', '.']"
"that if you cut it, it will have a really catastrophic effect on american life.","['if', 'cut', ',', 'it', 'have', 'really', 'effect', 'on', 'american', '.']"
i also think the president overrated his open clout.,"['i', 'also', 'think', 'president', 'overrated', 'his', 'clout', '.']"
"you know, i keep hearing about how enormously popular he is.","['know', ',', 'keep', 'hearing', 'about', 'how', 'popular', 'he', 'is', '.']"
he is not particularly popular.,"['is', 'not', 'particularly', 'popular', '.']"
"his job approval is 51, 52%.","['job', 'approval', 'is', '51', ',', '%', '.']"
that is where president bushwas in 2005. after his re-election.,"['is', 'where', 'president', 'bushwas', 'in', 'after', 'his', '.']"
and it's about where the president was even before his re-election last november.,"['it', 'about', 'where', 'president', 'was', 'before', 'his', 're-election', 'last', '.']"
he doesn't have great sway over the public.,"['does', ""n't"", 'have', 'great', 'sway', 'over', 'public']"
you don't think there is negative backlash for republicans if it goes in to effect and he continues the bully pulpit of going to the district and say look at what is going to happen?,"['do', ""n't"", 'think', 'there', 'negative', 'backlash', 'for', 'republicans', 'it', 'goes', 'to', 'and', 'he', 'the', 'pulpit', 'of', 'to', 'district', 'and', 'look', 'at', 'what', 'going', 'to', '?']"
"not much, if any.","['if', 'not', 'much', '.']"
"besides, the republicans have ideological reason.","[',', 'republicans', 'ideological', 'reason', '.']"
part of the republican principles.,"['part', 'the', 'principles', '.']"
they want to reduce spending.,"['want', 'to', 'spending', '.']"
so does the public.,"['so', 'does', 'public', '.']"
juan?,['juan']
i have a different point of view.,"['i', 'have', 'different', 'point', 'of', '.']"
not surprising.,"['not', 'surprising']"
i am struck by this.,"['i', 'am', 'struck', 'this']"
"the polls i have seen, show clearly people are asked who is to blame for the catastrophic situation in washington they say it's the republicans.","['polls', 'i', 'have', 'seen', ',', 'clearly', 'people', 'are', 'asked', 'who', 'is', 'blame', 'for', 'catastrophic', 'situation', 'washington', 'say', 'it', ""'s"", 'republicans', '.']"
the latest poll here is 43-34 republicans.,"['latest', 'poll', 'here', 'is', '43-34', 'republicans', '.']"
"when you ask what would youcut, even if it's just republicans what would you cut, would you come down to the republicans say we think we would cut maybe foreign aid.","['when', 'ask', 'what', 'youcut', ',', 'even', 'it', ""'s"", 'republicans', 'would', 'you', 'cut', ',', 'you', 'come', 'to', 'the', 'say', 'we', 'we', 'would', 'cut', 'foreign', '.']"
we'd cut maybe unemployment.,"[""'d"", 'cut', 'maybe', 'unemployment', '.']"
"but on every other count, republicans say keep spending level or increase it.","['on', 'other', ',', 'republicans', 'say', 'spending', 'level', 'or', 'increase', 'it', '.']"
"democrats overwhelming, there is nothing the democrats would cut.","['the', 'democrats', 'there', 'overwhelming', 'democrats', 'nothing', '.', 'cut']"
"it seems to me where the rubber meets the road here, you have a tough time selling the republican position.","['seems', 'to', 'where', 'rubber', 'meets', 'road', 'here', ',', 'have', 'a', 'tough', 'selling', 'republican', 'position']"
president obama has a tough time in terms of his legacy.,"['tough', 'has', 'obama', 'president', 'of', 'his', 'in', 'time', '.']"
the economy i think could be harmed.,"['economy', 'i', 'think', 'could', 'be', 'harmed', '.']"
they estimate 1 hadn't 2 million jobs and that will impact the employment rate.,"['estimate', '1', 'had', ""n't"", '2', 'million', 'jobs', 'and', 'will', 'the', 'employment', 'rate']"
"even if you said forget what ray lahood is saying about the long lines at the airport, what does it matter it has consequence on the larger effect on the economystruggling to gape recovery.","['even', 'you', 'forget', 'what', 'ray', 'is', 'saying', 'about', 'the', 'long', 'at', 'airport', ',', 'what', 'it', 'it', 'has', 'on', 'larger', 'effect', 'the', 'economystruggling', 'gape', 'recovery', '.']"
what about fred's point of the public assessment of the sky is falling out of washington and that there is a glazing over.,"[""'s"", 'of', 'and', 'is', 'of', 'that', 'about', '.', 'is', 'sky', 'point', 'there', 'glazing', 'public', 'falling', 'the']"
they have heard it a lot.,"['have', 'heard', 'it', 'lot']"
the notion wegone crisis to crisis has effect on that.,"['notion', 'wegone', 'crisis', 'to', 'has', 'effect', 'on', 'that']"
not much changed.,"['much', 'not', 'changed']"
at who point do you have impact?,"['who', 'do', 'you', 'have', '?']"
the white house is counting on it having impact it puts republicaputpressure on republi.,"['white', 'house', 'is', 'counting', 'on', 'having', 'it', 'puts', 'republicaputpressure', 'republi', '.']"
"so much error, so little time.","['so', 'much', 'error', 'so', 'little', 'time', '.']"
we are talking about minuscule amount of the economy that will throw us in a recession.,"['recession', 'about', 'are', 'a', 'that', '.', 'talking', 'us', 'throw', 'amount', 'the', 'of']"
this will have some epect the washington area.,"['will', 'have', 'some', 'the', 'washington', '.']"
because they will be furloughed of people workingfor the federal government.,"['federal', 'be', 'they', 'furloughed', 'government', 'of', 'the', 'people']"
but washington area prospered as the rest of the country suffered.,"['washington', 'area', 'prospered', 'as', 'rest', 'the', 'country', '.']"
people have done well.,"['people', 'have', 'done', 'well']"
it will cause the most disruption.,"['will', 'cause', 'the', 'disruption', '.']"
tsa an air traffic control because you want to make people upset.,"['tsa', 'air', 'traffic', 'control', 'because', 'want', 'make', 'people', '.']"
so they get angry at republicans.,"['so', 'get', 'angry', 'at', '.']"
there is a solution to that issue which is done in an hour next week.,"['is', 'a', 'to', 'that', 'which', 'done', 'in', 'hour', 'next', 'week']"
not in a day.,"['not', 'a', '.']"
in a hour.,"['a', '.']"
where you give the administration discretion how to move the mup around.,"['where', 'give', 'the', 'discretion', 'how', 'to', 'move', 'mup', 'around']"
"if you do that, you don't touch single air traffic controller.","['you', 'that', ',', 'do', 'touch', 'air', 'traffic', 'controller', '.']"
you can postpone one of tin investments in infrastructure or algae or any other stuff orthe electric cars or solyndra.,"['can', 'postpone', 'one', 'of', 'investments', 'in', 'infrastructure', 'algae', 'or', 'other', 'stuff', 'electric', 'or', 'solyndra', '.']"
that is what you would do rationally and you would continue the cut what the country needs.,"['is', 'what', 'would', 'rationally', 'and', 'you', 'would', 'the', 'what', 'the', 'country', '.']"
"as a aggregate amount, this is trivial amount of money.","['a', 'amount', ',', 'this', 'trivial', 'of', 'money', '.']"
we are drowning in debt.,"['are', 'drowning', 'in', '.']"
if you cut two cents we have a catastrophe?,"['you', 'two', 'cents', 'we', 'have', 'catastrophe', '?']"
it is tough to make any cuts if you can't do that.,"['is', 'tough', 'to', 'any', 'cuts', 'you', 'ca', 'do', '.']"
they don't want to give the power of the purse over and they should do that.,"['do', ""n't"", 'want', 'to', 'the', 'power', 'the', 'purse', 'and', 'should', 'do', '.']"
they're not doing it.,"[""'re"", 'not', 'doing', 'it']"
same way.,"['same', 'way']"
it's a mistake on their part.,"[""'s"", 'a', 'on', 'their', '.']"
will to ray lahood.,"['will', 'ray', 'lahood', '.']"
they are occasionally wrong.,"['are', 'occasionally', 'wrong', '.']"
"ray lahood, the transportation secretary today.","['ray', 'lahood', 'the', 'secretary', 'today', '.']"
"i am trying to wake up members of congress to theidea they need to come to the table, offer a proposal so we don't have the calamity in the air service in america.","['i', 'am', 'trying', 'wake', 'up', 'of', 'congress', 'theidea', 'they', 'to', 'come', 'the', 'table', 'offer', 'a', 'so', 'do', ""n't"", 'the', 'calamity', 'the', 'air', 'in', '.']"
ray lahood of course republican.,"['ray', 'lahood', 'course', 'republican', '.']"
"speaker boehner's office responded quickly, saying today, secretary lahood alleviating the impact of president obama's sequester requires the republicans stepping forward ideas.","['speaker', 'boehner', 'office', 'responded', 'quickly', ',', 'today', ',', 'secretary', 'alleviating', 'the', 'impact', 'of', 'obama', ""'s"", 'requires', 'the', 'republicans', 'forward', 'ideas', '.']"
"he should check out hr-5652, the replacement act.","['should', 'check', 'out', ',', 'the', 'act']"
we can look at the h.r.,"['look', 'can', 'h.r', 'at']"
"6684, spending reduction act of 2012, sponsored by the majority leader cantor, a republican.","['republican', 'spending', 'the', 'majority', 'of', ',', '.', 'act', '6684', 'a', 'reduction', 'sponsored', 'cantor']"
filled to the brim with cracker jack republican ideas.,"['filled', 'the', 'with', 'cracker', 'republican', 'ideas', '.']"
someone hasn't given us a proposal is president obama.,"['someone', 'has', ""n't"", 'given', 'a', 'is', 'president', 'obama', '.']"
he has given us vague ideas but no proposal.,"['has', 'given', 'us', 'ideas', 'but', 'no', '.']"
the president said the tiny spending cuts will have astrong effect on unemployment and the economic growth.,"['president', 'said', 'the', 'spending', 'cuts', 'will', 'have', 'astrong', 'effect', 'on', 'unemployment', 'the', 'economic', '.']"
how about $600 billion in tax increases he demanded in the fiscal cliff and passed?,"['how', 'about', '600', 'billion', 'in', 'increases', 'he', 'demanded', 'the', 'fiscal', 'and', '?']"
that will have a much bigger impact harmfully on the economy than the spending cu cuts.,"['will', 'have', 'a', 'bigger', 'impact', 'harmfully', 'on', 'the', 'than', 'spending', 'cu', '.']"
"juan, one more thing.","['juan', 'one', 'more', 'thing', '.']"
$85 billion is the total cost.,"['85', 'billion', 'is', 'the', 'cost', '.']"
didn't we pass the hurricane sandy relief with $60 billion?,"['did', ""n't"", 'pass', 'the', 'sandy', 'relief', 'with', '$', 'billion']"
put it in perspective.,"['put', 'in', '.']"
like the numbers.,"['the', '.']"
"no, look, if you -- remember, the argument that we are hering in washington over that, republicans didn't want to do it.","[',', ',', 'if', '--', ',', 'argument', 'we', 'are', 'in', 'over', 'that', 'republicans', ""n't"", 'want', 'to', 'it', '.']"
"and the people, including republicans in northeast scream bloody murder.","['the', ',', 'including', 'in', 'northeast', 'scream', 'murder', '.']"
i think you will get people not getting services as a result who will scream they don't understand why they don't have the first responders.,"['getting', 'responders', 'understand', 'as', 'will', 'services', 'not', 'scream', 'people', '.', 'i', 'they', 'think', 'result', 'have', 'the', 'do', ""n't"", 'do', ""n't"", 'will', 'get']"
"believe me, the white house from their political perspective are going to make that pressure felt.","['believe', ',', 'white', 'from', 'their', 'political', 'are', 'to', 'make', 'that', 'pressure', 'felt']"
"if you talk about ideas, i haven't heard one idea from the speaker about what loopholes he would close or what he would do to reduce it.to the contrary, the senate democrats put out a plan and the president says --  would the white house want to make things worse for the american people?","['you', 'about', 'ideas', 'i', 'have', 'heard', 'one', 'idea', 'from', 'the', 'speaker', 'about', 'loopholes', 'would', 'close', 'what', 'would', 'do', 'reduce', 'it.to', 'the', ',', 'senate', 'put', 'out', 'a', 'and', 'the', 'president', '--', 'would', 'white', 'want', 'to', 'make', 'things', 'for', 'american', 'people']"
they want a deal.,"['want', 'a', '.']"
"they would -- they will say listen this is supposed to be across-the-board cut without discrimination, no latitude, every account is cut the same amount.","['would', '--', 'will', 'listen', 'this', 'is', 'supposed', 'be', 'across-the-board', 'cut', 'discrimination', ',', 'no', 'latitude', 'every', 'account', 'cut', 'same', 'amount']"
that is why this is a butc butcher's block cut.,"['why', 'block', ""'s"", 'butc', 'cut', 'a', 'is', 'this']"
not smart.,"['smart', 'not']"
i think we have six more days to talk about this.,"['i', 'think', 'have', 'six', 'more', 'days', 'to', 'about', 'this']"
"next up, the friday lightning round which will be lightning.hi.","['next', 'up', 'the', 'lightning', 'round', 'which', 'will', 'lightning.hi', '.']"
"every week, viewers vote for your choice online.","['week', ',', 'vote', 'for', 'your', 'online']"
this is our quick friday lightning round.,"['is', 'our', 'friday', 'lightning', 'round', '.']"
"this week, fracking won with 41% of the vote.","['week', ',', 'won', 'with', '41', 'of', 'the', 'vote']"
that is where we start.a big battle between new york and pennsylvania.,"['is', 'where', 'we', 'big', 'battle', 'between', 'new', 'and', 'pennsylvania', '.']"
"pennsylvania, charles, is thriving economically.","['pennsylvania', 'charles', ',', 'thriving', 'economically', '.']"
new york not so much.,"['new', 'york', 'not', 'so', 'much']"
there is concerns environmentally.,"['is', 'concerns', 'environmentally', '.']"
new york is losing out because of ideological rigidity here.,"['new', 'york', 'is', 'losing', 'because', 'ideological', 'here', '.']"
the overwhelming evidence on the fracking technique is it's benign.,"['overwhelming', 'evidence', 'on', 'fracking', 'is', 'it', ""'s"", 'benign']"
"lisa jackson, the former head of epa was asked about this.","['the', '.', 'of', 'this', 'epa', 'jackson', 'about', 'asked', 'lisa', 'head']"
about a year-and-a-half ago.,"['a', 'ago', '.']"
in congress and said she could not think of a single case where it had any effect on water.,"['congress', 'and', 'she', 'could', 'think', 'of', 'a', 'single', 'where', 'had', 'any', 'effect', 'on', '.']"
water is the real issue.,"['water', 'is', 'real', 'issue', '.']"
it has been around.,"['has', 'been', 'around', '.']"
and there is overwhelming evidence that it is safement  drones.,"['there', 'overwhelming', 'evidence', 'that', 'it', 'safement', '.']"
should drones fly in u.s.?,"['should', 'drones', 'fly', 'u.s.', '?']"
catherine herridge did a piece.,"['catherine', '.', 'did', 'piece', 'herridge']"
we don't know much about the administration drone program.,"['administration', ""n't"", '.', 'do', 'know', 'about', 'program', 'much']"
this goes beyond law enforcement.,"['goes', 'beyond', 'enforcement', '.']"
the pressure is law enforcement says it's easy and cheaper an they can't be armed so it's not firing atamericans but for surveillance.,"['pressure', 'is', 'law', 'enforcement', 'says', 'it', 'easy', 'and', 'cheaper', 'they', 'ca', 'be', 'so', 'it', ""'s"", 'not', 'firing', 'but', 'surveillance', '.']"
the problem is it's intrusive and obvious violation of the privacy.,"['problem', 'is', 'it', 'intrusive', 'and', 'obvious', 'of', 'the', 'privacy']"
there will be more talk about that.,"['will', 'be', 'more', 'talk', 'about', '.']"
winners and losers this week.,"['winners', 'losers', 'this', '.']"
"fred, you start us out.","['fred', 'you', 'us', 'out']"
"winer, chuck hagel.","['winer', 'chuck', 'hagel', '.']"
"he now has enough republicans and all the democrats, not up with democrat in the senate come out against him, so he will be secretary of defense.","['now', 'has', 'enough', 'republicans', 'and', 'the', ',', 'up', 'with', 'in', 'the', 'come', 'against', 'him', 'so', 'will', 'be', 'secretary', 'defense']"
the loser is jack lew nominated for treasury secretary.,"['loser', 'is', 'jack', 'lew', 'nominated', 'for', 'secretary', '.']"
he has to answer dozens of more questions and he will be scrutinized more heavily now that hagel is getting through.,"['has', 'to', 'dozens', 'of', 'more', 'and', 'he', 'will', 'scrutinized', 'heavily', 'now', 'that', 'hagel', 'is', 'getting', 'through']"
"juan, winners and losers.","['.', 'juan', 'winners', 'and']"
"this is not true in fred's household but according to bloomberg, president obama's popularity rating now at 55. and real clear politics has his job approval rating at over 50%.","['is', 'not', 'true', 'in', ""'s"", 'household', 'according', 'to', ',', 'president', ""'s"", 'popularity', 'now', 'at', '55.', 'real', 'clear', 'politics', 'has', 'job', 'approval', 'at', 'over', '50', '%', '.']"
"for bloomberg, three-year high.","['bloomberg', ',', 'high', '.']"
"and given all that we are hearing about sequest tration and problems with the economy, people, most miles per hours don't think the nation isheaded in the right direction it's amazing how popular president obama is.","['given', 'all', 'we', 'hearing', 'sequest', 'tration', 'and', 'with', 'the', 'economy', 'people', ',', 'miles', 'hours', 'do', 'think', 'the', 'isheaded', 'in', 'the', 'direction', 'it', ""'s"", 'amazing', 'how', 'president', 'obama', 'is']"
in terms of my loser it's hoop nature this week.,"['terms', 'of', 'loser', ""'s"", 'hoop', 'this', 'week', '.']"
it's -- human nature this week.,"[""'s"", '--', 'nature', 'this', 'week']"
sad week.,"['sad', 'week']"
"jesse jackson junior admitting he misused campaign funds for mackal jackson's -- michael jackson's hat, elvis memorabilia.","['jesse', 'jackson', 'junior', 'admitting', 'misused', 'campaign', 'funds', 'for', 'jackson', ""'s"", '--', 'jackson', 'hat', 'elvis', 'memorabilia']"
sad news about the former senator fathering a daughter of former senator and it's one thing that makes you want to cry inside.,"['sad', 'news', 'the', 'senator', 'fathering', 'a', 'daughter', 'former', 'senator', 'it', ""'s"", 'one', 'that', 'you', 'want', 'to', 'cry', '.']"
"winer ""argot"" for best picture.","['winer', 'argot', ""''"", 'best', '.']"
"you heard it here last, it's a consensus pick i think.","['heard', 'it', 'last', ',', 'it', 'a', 'pick', 'i', '.']"
"loser, i agree jesse jackson junior.","['loser', 'jesse', 'junior', 'jackson', 'i', 'agree', '.']"
and the tragedy is this.,"['the', 'is', 'this', '.']"
"this is a man of great talent, promise and he sold his soul for a rolex watch.","['is', 'a', 'of', 'great', ',', 'promise', 'and', 'sold', 'his', 'for', 'rolex', 'watch']"
it doesn't get sadder than that.,"['does', ""n't"", 'get', 'sadder', 'than', '.']"
you whipped through that lightning round.,"['.', 'whipped', 'through', 'lightning']"
you whiffed through it.,"['whiffed', 'through', '.']"
go back to that argument we were having -- i'll never make it to the end of the show.,"['that', 'the', 'go', ""'ll"", '--', 'i', 'we', 'make', 'it', 'to', 'the', '.', 'back', 'end', 'were']"
charles is famous for filibustering.,"['charles', 'is', 'famous', 'filibustering', '.']"
we upset you by finishing early.,"['upset', 'finishing', '.', 'you']"
early.,['early']
finished early.,"['finished', 'early']"
"as i said, so much error, sair, solittle time.","['i', 'said', ',', 'much', 'error', ',', 'sair', 'solittle', 'time']"
give it a shot.,"['give', 'a', '.']"
drones.,['drones']
"it gives me the willies the drones, because it's big brother watching.","['gives', 'me', 'willies', 'drones', ',', 'it', ""'s"", 'brother', '.']"
the opportunity for misuse is great.,"['opportunity', 'for', 'is', 'great', '.']"
drones ought to be used in yemen but not over the united states.,"['drones', 'ought', 'be', 'used', 'in', 'but', 'not', 'the', 'united', '.']"
the last thing you want drop hovering over your house.,"['last', 'thing', 'you', 'drop', 'hovering', 'over', 'your', '.']"
obviously it's not a weapon.,"['a', '.', 'not', ""'s"", 'obviously']"
but for looking in your life there is enough of that going on right now.,"['for', 'in', 'your', 'there', 'enough', 'of', 'going', 'on', 'right', '.']"
extreme cases perhaps.,"['extreme', 'cases', 'perhaps']"
but you probably have to judge and court order before you should have a drop over your head.,"['you', 'have', 'to', 'judge', 'court', 'order', 'you', 'should', 'have', 'drop', 'your', 'head', '.']"
"judge andrew napolitano would be proud of you, charles.","['judge', 'andrew', 'napolitano', 'would', 'be', 'proud', 'you', 'charles']"
"thank you, panel.","[',', 'thank', '.']"
stay tupeed for an update on what seems to have been the top story of the week.,"['stay', 'tupeed', 'an', 'on', 'what', 'to', 'been', 'the', 'story', 'of', 'the', '.']"
ne revvin]every car we build must make adrenaline pump and pulses quicken.,"['ne', 'revvin', ']', 'car', 'we', 'must', 'make', 'adrenaline', 'pump', 'and', 'pulses', '.']"
to help you not just to stay alive... but feel alive.,"['to', 'stay', 'help', 'you', '.', 'but', 'feel', 'just', '...']"
the new c-class is no exception.,"['new', 'c-class', 'is', 'no', '.']"
it's a mercedes-benz through and through.,"[""'s"", 'a', 'through', 'and', 'through']"
see your authorized mercedes-benz dealer for exceptional offers through mercedes-benz financial services.,"['see', 'authorized', 'mercedes-benz', 'dealer', 'for', 'offers', 'through', 'mercedes-benz', 'services', '.']"
fedex.,['fedex']
there's nothing like our grilled lobster and lobster tacos.the bar harbor bake is really worth trying.get more during red lobster's lobsterfest.,"[""'s"", 'nothing', 'like', 'grilled', 'and', 'lobster', 'tacos.the', 'harbor', 'bake', 'is', 'really', 'worth', 'trying.get', 'more', 'during', 'red', 'lobster', ""'s"", '.']"
"ke our delicus lobster lover's dream, featuring two kinds of succulent lobster tails.","['ke', 'delicus', 'lobster', 'lover', ""'s"", ',', 'featuring', 'kinds', 'of', 'succulent', 'lobster', '.']"
"finally tonight, we try to write interesting lead ins to things, explain things clearly.","['finally', 'tonight', 'we', 'to', 'write', 'lead', 'ins', 'to', 'things', ',', 'things', 'clearly']"
"there were a lot of news worthy stories this week, but it seems local television anchors may think one tops them all.","['may', 'them', 'were', 'a', 'seems', ',', 'one', 'television', 'tops', 'this', 'all', 'news', 'of', 'it', 'week', '.', 'stories']"
"if you filled up your gas tank lately, then you don't need to us tell you gas prices are on the rise.","['you', 'up', 'your', 'tank', ',', 'then', 'you', 'do', 'need', 'to', 'tell', 'you', 'gas', 'prices', 'on', 'rise', '.']"
you don't need us to tell you gas prices are back on the rise.,"['do', ""n't"", 'need', 'us', 'tell', 'gas', 'prices', 'back', 'on', 'the', 'rise', '.']"
you don't need us to tell you that gas prices are back on the rise.,"['do', ""n't"", 'need', 'us', 'tell', 'that', 'gas', 'are', 'on', 'the', 'rise', '.']"
you don't need us to tell that you gas prices are back on the rise.,"['do', ""n't"", 'need', 'us', 'tell', 'you', 'gas', 'are', 'on', 'the', 'rise', '.']"
you don't need us to tell you that gas prices are on the rise.,"['do', ""n't"", 'need', 'us', 'tell', 'that', 'gas', 'are', 'the', 'rise', '.']"
