keywords,caption
give sense of mood,give a sense of his mood?
where euphoric ?,where they euphoric?
were happy ?,were they happy?
set scene for .,set the scene for us.
with direct law this . our i so producers one am have getting actually not yeah enforcement official this from,"yeah, i am actually getting this information from one of our producers, so i have not had direct contact with this law enforcement official."
i can only image one in law community is going to be over this little is safe,i can only image any one in the law enforcement community is going to be over joyed this little boy is safe.
number one priority all is ensuring the safety this little .,their number one priority all along is ensuring the safety of this little boy.
priority was ensuring the of the .,another priority was ensuring the safety of the suspect.
ideally wanted to them both safely their one priority ensuring safety of this 5-year-old little boy they got .,ideally they wanted to get them both out safely but their number one priority was ensuring the safety of this 5-year-old little boy and they got that.
i can only image everyone lawenforcement is going to ue fore rick .,i can only image everyone in lawenforcement is going to be ue fore rick.
i think situation was made more complicated the there was under ground so was no access the to try get teams .,i think the situation was made more complicated the fact there was an under ground bunker so there was no access into the bunker to try to get teams in.
usually are able to to get snipers to try to the suspect get the safely out,usually they are able to respond to get different snipers to try to terminate the suspect and get the child safely out.
here had the tube .,here they had the pvc tube.
can talk to about ?,can you talk to us about that?
first all 's to be difficult getting into an under ground where mrooably 's only access way and assuming 's blocked off .,first of all it's going to be difficult enough getting into an under ground bunker where presumely mrooably there's only access way and assuming it's blocked off.
based neighbors what said this guy his anti government and paranoia you do n't know the area around bunker is going to booby .,based on neighbors what they said about this guy with his strong anti government views and apparent paranoia you don't know if the area around the bunker is going to be booby trapped.
"if suspect to j your are out in the confident you , jeopardize rescue boobytraps angry even are were the could and , ruined go suspect without team they getting everything a . the","even if they had a team they were confident they could go in take the suspect out and rescue the boy without the boy getting injured, if there are boobytraps you are going to j jeopardize your team, the suspect gets angry and you have ruined everything."
were playing this from the go,they were playing this cautious from the get go.
appears their has finally paid off .,it appears their caution has finally paid off.
jonathan bring you to the perhaps just us this is breaking news in .,jonathan to bring you up to date the viewers perhaps just joining us this is breaking news development in alabama.
jonathan son scene,jonathan son scene.
"are await ago conference regarding this remarkable to this terrible , 7 days where child held 5 years old needs some say suffering from asperger 's syndrome was by the suspect many said a menace to the and community .","we are await ago press conference regarding this remarkable ending to this terrible situation, a 7 days where this child was held 5 years old special needs some say suffering from asperger's syndrome was held by the suspect that many said was a menace to the neighborhood and the community."
know right now the is deceased .,we know right now the suspect is deceased.
"was determined after loud , correct ?","this was determined after a loud explosion, correct?"
sort after the at explosion . everyone happened media 's that,this happened after some sort of explosion that got everyone's attention at the media center.
noticed people moving up .,we noticed people moving up thehill.
initial reports of law source saying the standoff has resolved that the suspect is and 5-year-old boy has been and is okay .,these initial reports of a law enforcement source saying the standoff has been resolved that the suspect is dead and this 5-year-old boy has been released and he is okay.
thing that interesting to note earlier you asked what heard from the 's .,"another thing that is interesting to note, earlier you had asked what we heard from the boy's family."
"when was a conference earlier today while the was ongoing , a reporter asked sheriff olsen , whether child had been able speak his .","when there was a press conference earlier today while the standoff was still ongoing, a reporter asked the sheriff wally olsen, whether the child had been able to speak with his mother."
that the fbi in and shut the conference .,at that point the fbi stepped in and shut down the press conference.
interesting note there there some apparent about what contact family able to with the boy through this ordeal,interesting to note there there were some apparent sensitivities about what contact the family was able to have with the boy through out this ordeal.
once again appears the is finally over a enforcement saying theboy has been released and is apparently okay the suspect is dead,once again it appears the standoff is finally over a law enforcement source saying theboy has been released and is apparently okay and the suspect is dead.
i can speak that little .,i can speak to that a little bit.
one point there indications that the -- there may been television the bunker and they have been some the news .,at one point there were indications that the suspect -- or there may have been a television in the bunker and they may have been watching some of the news coverage.
"maybe 's why they cutting off some the some the and certainly of video was going with a of enforcement walking around around did n't to mr. do something of fear , right ?","maybe that's why they were cutting off some of the questions some of the ideas and certainly some of the video that was going on with a lot of law enforcement people walking around mulling around didn't want to make mr. dykes do something out of fear, right?"
had electricity down in bunker we are he a television .,he had electricity down in the bunker and we are told he had a television.
"do n't know whether was , whether he using tv entertainment boy or he was news accounts .","we don't know whether he was watching, whether he was using the tv to entertainment boy or whether he was watching news accounts."
certainly one here every in law was very aware everything that was going in the area this was viewable on tv,certainly every one here every one in law enforcement was very aware everything that was going on in the area surrounding this bunker was potentially viewable on tv.
so law enforcement maintained very wide perimeter.all of activity was going was actual loifr -- actually over the hill,so law enforcement maintained a very wide perimeter.all of the activity that was going on was actual loifr t-- actually over the hill.
law enforcement kept here across street on the side a wide perimeter so our were not allowed to what going on in real time the area the bunker .,law enforcement kept me here across the street and on the other side maintained a very wide perimeter so our cameras were not allowed to view what was going on in real time in the area surrounding the bunker.
obviously law enforcement authorities were very concerned mr. dykes might be watching what unfolding on tv did n't to insight any violence,obviously law enforcement authorities were very concerned that mr. dykes might be watching what was unfolding on tv and didn't want to insight any violence.
my the law officials who have been people informed have been very professional and giving as much as they possibly could to public is very interested the of the boy .,from my perspective the law enforcement officials who have been keeping people informed have been very professional and giving as much information as they possibly could to the public that is very interested in the well-being of the little boy.
"have trying the up been to forthe . sounds safety be , to boy you partly forthcoming will more out details , conference to get be coming have press you yet we you expect are","the press conference coming up do you expect they will be able to be more forthcoming with the details we are asking you that you have been trying to get but haven't been able to yet partly out of, sounds like, safety forthe boy."
caution yeah out an of .,"caution, yeah, out of an abundance of caution."
time the came out it like was almost to media that he could give more information,every time the sheriff came out it was like he was almost apologizing to the media that he couldn't give us more information.
seemed there stuff at the of tongue that wanted share .,seemed like there was stuff at the tip of his tongue that he wanted to share.
out abundance caution did want to do anything to a peaceful resolution this potentially standoff .,but out of abundance of caution didn't want to do anything to jeopardize a peaceful resolution of this potentially violent standoff.
earlier today said that had discussion with own family his told him some the that people were about in community,earlier today he said that he had a discussion with his own family and his mother told him some of the things that people were speculating about out in the community.
said that assured mother that and everyone law were everything humanly to ensure the safety and the safe release this little .,he said that he assured his mother that he and everyone in law enforcement were doing everything humanly possible to ensure the safety and the safe release of this little boy.
other interesting thing that out of 's conference in the one that earlier today before the stepped in andshut down the conference had asked the whether boy family been able to speak with him the standoff,the other interesting thing that came out of today's press conference in particular the one that happened earlier today just before the fbi stepped in andshut down the press conference reporter had asked the sheriff whether the boy's family had been able to speak with him during the standoff.
's when the conference abruptly ended .,that's when the press conference abruptly ended.
"will be interesting to if that turns to be part the whether they brought boy mother or close the boy enabled the , perhaps at the heart of suspect jimmy dykes .","it will be interesting to see if that actually turns out to be part of the negotiations whether they brought the boy's mother or someone close to the boy and enabled the conversation, perhaps playing at the heart strings of the suspect jimmy lee dykes."
simply do n't know .,we simply don't know.
this it 's speculation .,at this point it's pure speculation.
i am sure will get an at the conference is up coming,i am sure we will get an earful at the press conference that is up coming.
one possibility there could have been information i am parted in conf imparted i that would let the know something was or he could move or maybe did want to let suspect know,one possibility there could have been some information i am parted in the conf-- imparted i conversation that would let the child know something was happening or he could move or maybe they didn't want to let the suspect know.
anything is possible this .,anything is possible at this point.
would be pure speculation .,it would be pure speculation.
i think i want wait until can confirm it at news .,i think i want to wait until theauthorities can confirm it at the news conference.
is any -- i this press conference supposed to be at the of the eastern,is there any reason -- i assume this press conference is supposed to be at the top of the hour eastern.
"is now 16 , minutes after the .","it is now 16, 17 minutes after the hour."
is any to assume is going on that has up press conference ?,is there any reason to assume something is going on that has held up the press conference?
's not uncommon through this that press conferences scheduled it occurs perhaps half an or later than it initially .,it's not uncommon through out this ordeal that the press conferences are scheduled and it occurs perhaps half an hour or even later than it was initially scheduled.
i think law enforcement is lining that are getting the story straight they can get into press conference with effort coordinate the facts they are ready release at point .,i think law enforcement is lining up that you are ducks getting the story straight so they can get into the press conference with coordinated effort and coordinate the facts that they are ready to release at this point.
i am not going read too much into just say that have been lot of delayed press .,i am not going to read too much into that just to say that there have been a lot of delayed press conferences.
"is a fluid situation that has constantlyunfolding , and as initial suggest positive in the standoff .","this is a very fluid situation that has been constantlyunfolding, and as the initial reports suggest significant positive investments in the standoff."
lot of we are for .,a lot of information we are waiting for.
is too soon to from the who probably importantly to the child they have separated .,is it too soon to hear from the parents who are probably importantly tending to the child they have been separated from.
will hear from sheriff image wally olsen and any one you confirm ?,we will hear from the sheriff i image wally olsen and any one else you can confirm?
wally olsen sheriff has been handling all the conferences this point .,wally olsen the sheriff has been handling all of the press conferences to this point.
assume we hear from him maybe hear fbi because they have significant presence here,we assume we will hear from him and maybe also hear from fbi because they have a significant presence out here.
adds the i would guess it is too early to hear from .,adds for the family i would guess it is probably too early to hear from them.
i am sure top priority right now is just reunifying them their and giving them space to get to the child it would be if in up coming there be some opportunity .,i am sure the top priority right now is just reunifying them with their son and probably giving them some space to get backtogether to comfort the child and it would be wonderful if in the up coming days there would be some opportunity.
would certainly -- has been prayi -- america been pg for the safety this boy .,we would certainly -- haeshg has been prayi-- america has been pg for the safety of this little boy.
would be great for to to him and would be to from family .,it would be great for us to get to meet him and it would be wonderful to hear from his family.
did ever get a to see bunker ?,did you ever get a chance to see the bunker?
never let you close enough to see ?,they never let you get close enough to see it?
you it said behind,you said it's behind you.
is so far away that it so away you ca n't see from where i am,is it so far away that --  it is so far away you can't see it from where i am.
is over hill me .,it is over the hill behind me.
the stand to to want we so zoom would . during be see tip in even avoiding with off still this been we we cameras n't,so even if we wereo zoom in with our cameras which we have been avoiding because we didn't want to tip off the suspect during this stand off you still wouldn't be able to see it.
you enforcement . would see the patrolling the able n't see but law to bunker,you would see law enforcement patrolling the area but you wouldn't be able to see the bunker itself.
due the standoff law enforcement has been veryserious and very about maintaining a wide perimeter not letting any media near it .,due to the entire standoff law enforcement has been veryserious and very adamant about maintaining a very wide perimeter and not letting any media anywhere near it.
was the like before after development,what was the mood like before and after the development.
i image watching this the few it was pretty grimm at least as an that was a situation,"i image from watching this over the last few days it was pretty grimm, at least as an observer that this was a hopeless situation."
was it before happened how the mood after ?,what was it like before this happened and how did the mood change after?
emotions really ran the here .,the emotions really ran the gamut here.
could talk to one town and time you get different prediction,you could talk to any one in town and each time you would get a different prediction.
"demanding the at an this looked bus ground and kid anti him paranoid was takes views grimm out saying all into under neighbors because gunman of barges lee the , pretty we","it looked pretty grimm at first, because here this gunman barges on the bus demanding hostages takes a kid into an under ground bunker and the more we find out about him neighbors saying jimmy lee dykes was paranoid harbored all of these anti government views."
threatened neighbors he with a any who would near his .,he threatened neighbors he threatened with a gun any one who would get near his property.
sounded like was veryviolent man,it sounded like this was a veryviolent man.
situation did not lock booe -- good .,the situation did not lock booe -- look good.
"longer this on with reports any by all jimmy dykes was for this is the term law enforce am , for little boy best as possible allowing them to medication , them deliver toys .","the longer this went on with no reports of any violence by all accounts jimmy lee dykes was caring for, this is the term law enforce am used, caring for that little boy as best as possible allowing them to deliver medication, allowing them to deliver toys."
"suggested that hostage somehow becoming humanized , that he regarding little as a human .","this suggested that his hostage was somehow becoming humanized, that he was regarding this little boy as a human being."
many us thinking okay over time is going develop a relationship this little .,many of us were thinking okay over time he is going to develop a relationship with this little kid.
is going to seeing him as hostage,he is going to stop seeing him as a hostage.
is going to him as human and i say going start caring for the outcome this little boy be for his and more likely to him .,he is going to see him as a human being and then i say going to start caring for the outcome of this little boy and be concerned for his safety and be more likely to release him.
"i have question , , what he what set offinitially","i have a question, jonathan, what did he -- what set him offinitially."
when wanted to the hostages was there that happened before hand the community been able say,"when he wanted to take the hostages, was there something that happened before hand that the community has been able to say?"
did he from the driver,what did he want from the bus driver?
"know , 's a very good for this to happen","you know, it's not a very good reason for this to happen."
had a date coming up on for threatening neighbors but it is hard say,"he had a court date coming up on wednesday for allegedly threatening neighbors, but it is hard to say."
actions that allegedly are so irrational it 's hard us as rational beings say it 's the court that set off,these actions that he allegedly took are so irrational it's hard for us as rational human beings to say oh it's the court date that set him off.
neighbors are suggesting he a ticking bomb that he was and was eventually going set him off .,neighbors are suggesting that he was a ticking time bomb that he was angry and something was eventually going to set him off.
that date was the straw broke the 's back do n't .,whether that court date was the straw that broke the camel's back we don't know.
people knew him not surprised .,people who knew him are not surprised.
knew that was capable of violence .,they knew that he was potentially capable of violence.
as far the against the driver as far as hostage from all have heard there no .,"as far as the violence against the bus driver, as far as takinghim hostage from all we have heard there's no relation."
"has no with this boy the only reason he fire on the driver to -- according witnesses charles poland , jr. by accounts a dedicated bus who put the and lives his first trying to the hostage taking , that refused the 's demands stood between and children , that he even the back open , that was to his bus and he shot because was resisting gunman","he has no relation with this little boy and the only reason that he opened fire on the bus driver aworeding to -- according to witnesses, charles poland, jr., by all accounts a very dedicated bus driver who put the comfort and lives of his children first was trying to prevent the hostage taking, that he refused the suspect's demands, stood between him and the children, that he even got the back door open, that he was trying to get his bus evacuated and he was shot because he was resisting the gunman."
all that 's only reason bus driver was .,from all reports that's the only reason this bus driver was shot.
"as far the taking , earlier the sheriff gave a glimpse at possible saying that lee felt that he had important story , or at astory was important him .","as far as the hostage taking, earlier today the sheriff gave us a glimpse at a possible motive saying that jimmy lee dykes felt that he had an important story, or at least astory that was important to him."
"so perhaps and is longer the sheriff talking speculation , perhaps was looking hostages so could get his out .","so perhaps, and this is no longer the sheriff talking but speculation, perhaps he was looking for hostages so he could get his story out."
"of if these reports the suspect is , may never hear the story this .","but of course if these initial reports that the suspect is dead, we may never hear the full story about this."
"jonathan if reports accurate , this is massively operation , negotiation , do we who was the hostage negotiations ?","jonathan, if these reports are accurate, this is a massively successful operation, hostage negotiation, do we know who was the lead hostage negotiations were?"
was the ?,was it the fbi?
was the sheriff 's department was it special swat ?,"was it the alabama sheriff's department, was it a special swat team?"
do know how that out ?,do we know how that worked out?
", we n't .","yeah, that we don't know."
"had a , local federal presence here .","we had a state, local and federal presence out here."
do n't know which enforcement department was involved or whether you at command behind me it a coordinated effort you multiple talking the suspect out this ordeal .,we don't know which law enforcement department was involved or whether as you see at the command post behind me whether it was a coordinated effort where you had multiple people talking to the suspect through out this ordeal.
yeah you medicine and toys delivered to this child,"yeah, you said medicine and toys were delivered to this child."
indicates that got up to the of bunker or least the entrance it somewhere or .,that indicates that somebody got up to the door of the bunker or at least to the entrance of it in somewhere or another.
indication who was,any indication who that was?
how happened ?,how that happened?
that not pipe enough wide was . stuff i to think,i think that pipe was not wide enough to put that stuff down.
inches it diameter yeah pvc similar 4 actually one they this through,"yeah, actually they lowered it through a pvc pipe similar to this one 4 inches in diameter."
was a that was at the scene,this was a pipe that was preexisting at the scene.
was used as ventilator air from the surface to bunker .,it was used as a ventilator providing air from the surface down to the bunker.
apparently is how they communicating with jimmy dykes through out the speaking this pipe .,apparently this is how they were communicating with jimmy lee dykes through out the ordeal speaking through this pvc pipe.
"obviously not one i am holding but like it in ground and how were lowering they described as items to the , -- to ch .","obviously not the one i am holding but one like it embedded in the ground and also how they were lowering what they described as comfort items to the wild, presumab -- to the ch."
anything would have to 4 inches in diameter.it medication and coloring books crayons .,anything that would have to fit 4 inches in diameter.it included medication and coloring books and crayons.
yesterday were told he him cheez-its a hot car,yesterday we were told he gave him cheez-its and a hot wheel car.
typical 5-year-old boy,typical 5-year-old boy.
of reports the suspect jimmy dykes asked the bus driver to two children given him .,some of the reports are the suspect jimmy lee dykes asked the bus driver to have two children given to him.
blocked the and the needs was in the front .,he blocked the way and the special needs children was in the front.
so unfortunately little bus was in front the bus opportunity was able to just him .,so unfortunately this little bus was in the front of the bus so opportunity he was able to just take him.
people knew the driver say -- he concerned all of his on bus,people who knew the bus driver say -- he was concerned about all of his kids on the bus.
op hot days would provide them cold .,op hot days he would provide them with cold water.
holidays he give them presents,on holidays he would give them presents.
would collect lists from through the as what liked .,he would collect lists from them through out the year as to what they liked.
special needs children reserved a place for them the of bus he made that were cared may why the little was easy target to be taken hostage .,special needs children he reserved a special place for them at the front of the bus so he made sure that they were cared for.this may be why the little boy was an easy target to be taken hostage.
i would luke ike bring in t sam .,i would luke ike to bring in a t pastor sam.
has plugged into pulse this community has able to a lot of color a lot personal color out the .,"it has plugged into the pulse of this community and has been able to provide a lot of color, a lot of personal color through out the ordeal."
obviously significant developments today .,obviously some significant developments today.
are you ?,what are you hearing?
well we hearing a lot from a lot different that this is finally over,"well, we are hearing a lot f from a lot of different sources that this thing is finally over."
has been a time .,it has been a long time.
7 days today this place .,7 days today since this took place.
never thought in beginning this that would this .,we never thought in the beginning of this that it would last this long.
all what we hearing nothing has been to me but a lot good saying young is out he is going to okay .,from all indications what we are hearing -- nothing has been confirmed to me but a lot of good sources saying the young man is out and he is going to be okay.
are hearing anything about family grandparents ?,are you hearing anything about his family his grandparents?
not this .,not at this time.
yesterday as spoke they were believing god to bring her home.all of haare and have believing a great to see this boy to family .,after yesterday as i spoke they were still believing god to bring her son home.all of us haare and have been believing for a great outcome to see this boy returned to his family.
i think day as turns we do always everything that takes place in a like this or had be any but are this young boy fixing to home where belongs,i think the day as this turns out we don't always like everything that takes place in a situation like this or there had to be any bloodshed but we are thankful this innocent young boy is fixing to go home where he belongs.
tell about mood the community,tell me about the mood of the community.
"when initially happens you a gunman on board a bus , n't look good a lot of people remain through all of .","when this initially happens you hear a gunman go on board a school bus, didn't look good but a lot of people remain faithful through out all of this."
is is the belt .,there is is the bible belt.
people have great faith this .,people have great faith in this area.
churches have come together and have come together .,the churches have come together and communities have come together.
the going are to to conference .,we are going to go to the news conference now.
"thank , .","thank you, pastor."
good afternoon everybody,good afternoon everybody.
just wanted let you we are to get started in about 5 minutes,just wanted to let you know we are going to get started here in about 5 minutes.
wanted introduce the who will giving the briefing this .,wanted to introduce the folks who will be giving the briefing this afternoon.
steve richardson is thespecial agent in of the mobile division .,steve richardson who is thespecial agent in charge of the fbi mobile's division.
with wally olsen as well as huma colonel of the department safety,along with sheriff wally olsen as well as huma call colonel of the department of safety.
are going to a briefing the development it pla took in investigation .,we are going to give a briefing on the development that it can pla took place in this investigation.
will not entertain questions .,they will not entertain questions.
will have opportunity later for .,we will have opportunity later for that.
a is briefing .,this is a general briefing.
should be 5 minutes,should be 5 minutes.
steve r-i-c-h-a-r-d-s-on richardson r. . -i-c-h-a-r,steve richardson r. -i-c-h-a-r ; r-i-c-h-a-r-d-s-on.
wally olsen o-l -- .,"wally olsen, o-l--son."
cle will have that this evening we will you .,cle we will have that later this evening and we will let you know.
will update you soon as that known,we will update you as soon as that is known.
thank you.it will be 5 minutes,thank you.it will be 5 minutes.
okay,okay.
so we heard now 5 minutes from now want to it here fox because are going have the conference we will be ago general of the details of has transpired during the hour with the news the 5-year-old needs that was being captive an under ground has released .,so what we have heard now 5 minutes from now you want to keep it here on fox because we are going to have the press conference where we will be receive ago general briefing of the details of what has transpired during the past hour with the incredible news that the 5-year-old special needs child that was being held captive in an under ground bunker has been released.
sheriff will be providing some the for of exactly happened,the sheriff will be providing some of the details for us of exactly what happened.
initial reports about explosion and hope we the answers,some initial reports about an explosion heard and hope we have the answers.
go back to sari who is at the scene,we go back to jonathan sari who is live at the scene.
law enforcement authorities getting ready the conference .,law enforcement authorities getting ready for the news conference.
can see them here .,you can see them assembled here.
news conference expect to begin about 3 from now .,that news conference expect to do begin about 3 minutes from now.
"you behind me a we have , and law enforcement and are expecting hear from all threeat news here giving some details about what in the moments in that under ground .","what you see behind me is a -- we have state, local and federal law enforcement and we are expecting to hear from all threeat this news conference here giving some more details about exactly what happened in the final moments in that under ground bunker."
hostage standoff that last tuesday afternoon with a boarding school bus and hostages .,a hostage standoff that began last tuesday afternoon with a gunman boarding a school bus and demanding hostages.
let listen in,let's listen in.
good afternoon,good afternoon.
"i am steve richardson special agent in of the in , alabama","i am steve richardson the special agent in charge of the fbi in mobile, alabama."
"me is sheriff wally olson , colonel mccall with the alabama of , major kneel chief of alabama bureau of investigation .","with me today is sheriff wally olson, colonel hue mccall with the alabama bureau of investigation, major kneel tu chief of the alabama bureau of investigation."
approximately 12 this fbi agent safely recovered the child has been hostage for nearly a week,at approximately 12 this afternoon fbi agent safely recovered the child who has been held hostage for nearly a week.
the 24-hours negotiations deteriorated and mr. was observed holding agun .,within the past 24-hours negotiations deteriorated and mr. dykes was observed holding agun.
this fbi agents fearing the child in eminent danger the bunker and rescued child .,at this point fbi agents fearing the child was in eminent danger entered the bunker and rescued the child.
child appears physically unharmed and being treated at a hospital,the child appears physically unharmed and is being treated at a local hospital.
subject is deceased .,the subject is deceased.
resolution in matter a direct result extraordinary collaboration between enforcement at all .,the resolution in this matter is a direct result of extraordinary collaboration between law enforcement at all levels.
exhausted efforts and of this 's enforcement is exemplary .,the exhausted efforts and dedication of this community's law enforcement is truly exemplary.
i want thank everyone in community has supported through out the few .,i want to thank everyone in this community that has supported us through out the past few days.
"i know are several questions that to be , and more to .","i know there are several questions that need to be answered, and more questions to come."
will have an to address later as details become .,we will have an opportunity to address these later as more details become available.
"this i wanted to thank for your continued , 's support .","at this time i wanted to thank everybody for your continued patience, thecommunity's support."
appreciate everybody in enforcement pulling together to get job done,we appreciate everybody in law enforcement pulling together to get this job done.
behalf of alabama of safety and great state alabama had all of resource from state of here assist sheriff in safe of the .,on behalf of the alabama department of safety and this great state of alabama we had all of the resource from the state of alabama here to assist the sheriff in the safe recovery of the child.
's the important thing we have safe recovery of the child,that's the most important thing we have is safe recovery of the child.
again thank you .,"again, thank you all."
i know 's a more details we are in .,i know there's a lot more details we are interested in.
will have that very soon .,we will have that opportunity very soon.
will alert you that time .,we will alert you when that time comes.
you now is a conclusion a brief informative conference in ma where the 5-year-old has been safely rescued the local department working with the fbi the bureau of investigations as in coordinated effort secure of this young treated presently the hospital uninjured is being observed with his family well this time .,"what you see now is a conclusion of a brief but informative press conference in bam ma where the 5-year-old boy has been safely rescued from the local department working with the fbi, the alabama bureau of investigations as well in a coordinated effort to secure therelease of this young boy treated presently at the hospital is uninjured but is being observed hopefully with his family as well at this time."
take back to who is at the scene,take it back to jonathan who is live at the scene.
will discuss some the of press conference,we will discuss some of the details of this press conference.
"law enforcement officials confirming we been hearing from our enforcement earlier in the day around local there was big break in the the little was rescued , 5-year-old who was in that bunker in what have going into it 's 7th day","law enforcement officials confirming what we have been hearing from our law enforcement source earlier in the day around 12 local time there was a big break in the case the little boy was rescued, that 5-year-old boy who was held in that bunker in what would have been going into it it's 7th day."
the is dead .,and the suspect is dead.
"authorities saying negotiations that continuing since last afternoon , late tuesday were beginning to deteriorate .","authorities saying the negotiations that were continuing since last tuesday afternoon, late tuesday afternoon were beginning to deteriorate."
did n't offer any as to the of negotiations or whatexactly said,they didn't offer any details as to what the nature of those negotiations were or whatexactly was said.
they the impression the boy in danger .,but they got the impression that the boy was in eminent danger.
weapon was involved .,a weapon was involved.
"that law enforcement entered the bunker rescued the and law confirming that suspect , 65-year-old jimmy dykes dead .","at that point law enforcement entered the bunker and rescued the child and law enforcement confirming that the suspect, 65-year-old jimmy lee dykes is dead."
jonathan thank you those from incredible story news tonight in that story of the alabama boy held ca tive -- captive for 7 days .,"jonathan, thank you for those details from this incredible story breaking news developments tonight in that story of the alabama little boy being held can't tive for -- captive for 7 days."
has come to end lee dykes deceased to the hands law .,it has come to an end jimmy lee dykes deceased to the hands of law enforcement.
stay fox news .,stay with fox news.
will be back after return,we will be back after we return.
hi.i 'm here pick up cacti,hi.i'm here to pick up some cacti.
big story here today is of if you been it so far live `` the five '' end the standoff in .,"the big story here today is of course if you have been watching it so far live on ""the five"" an end to the hostage standoff in alabama."
live seeing a boy to 5-year-old have the city end report is kidnaper . midland special dead safe the we in,on special report we will have a live report in midland city on the end to the seeing siege.the 5-year-old boy is safe and the kidnaper is dead.
president obama says needs more revenue to the deficit,president obama says he needs more revenue to cut the deficit.
says he talking about closing loopholes ones that benefit high earners .,he says he's talking about closing tax loopholes ones that benefit high income earners.
president was in today to talk gun control,the president was in minnesota today to talk about gun control.
asked members of audience minneapolis to congress to actions on proposals as universal background for gun booirs,he asked members of his audience in minneapolis to press congress to take actions on proposals such as universal background checks for gun booirs.
former official the nations nuclear energy says iran will produce enough fuel to make nuclear bomb two months .,former official of the united nations nuclear energy says iran will produce enough fuel to make a nuclear bomb every two months.
iran has not decided to nuclear weapons .,iran has not decided whether to pursue nuclear weapons.
. washington starts special report,special report in washington starts.
moments we from law and aut thoefrities the release of the little boy has held captive for 7 in alabama .,moments ago we heard from law enforcement and aut thoefrities regarding the release of the 5-year-old little boy who has been held captive for 7 days in alabama.
let go to for thelatest,let's go to jonathan for thelatest.
kimberly certainly significant developments here mid afternoon people at press heard some sort of boom .,kimberly certainly some significant developments here mid afternoon people at the press site heard some sort of a boom.
the we could tell whether it was fire explosion or a truck shutting .,at the time we couldn't tell whether it was gun fire an explosion or a truck door shutting.
got everybody 's we started over looking across street at police post .,it got everybody's attention we started hetding over looking across the street at the police command post.
saw lot of heading behind me,saw a lot of activity heading behind me.
bunker we referencing is over the behind .,the bunker we keep referencing is over the hill behind me.
ca n't see it our location out this ordeal enforcement a perimeter because it was assumed man because he electricity television down in bunker it entirely evidences wathe was television and what going .,you can't see it from our live location through out this ordeal law enforcement maintaining a wide perimeter because it was assumed this man because he had electricity and television down in his bunker it was entirely possible evidences wathe was wa television and knew what was going on.
one in enforcement wanted to tip hand as what exactly going .,no one in law enforcement wanted to tip their hand as to what exactly was going on.
tried to with this jimmy dykes who washolding this 5-year-old coming up 7 days after a on little boy 's bus a gunman the demanding os tajs taking this little boy shooting his bus to death .,they tried to negotiate with this man jimmy lee dykes who washolding this 5-year-old hostage coming up on 7 days after a shooting on the little boy's school bus where a gunman boarded the bus demanding os tajs and taking this little boy after shooting his bus driver to death.
bunker him taking under in and,taking him and holding him in this under ground bunker.
discussions were going through 4 diameter pvc pipes .,discussions were going on through a 4 inch diameter pvc pipes.
"dykes allowed comfort items such toys and , snacks to the boy","dykes allowed comfort items such as toys and medications, snacks down to the little boy."
this something started heading south .,but this afternoon something started heading south.
want to you now sound bite a news conference occurred ago .,we want to show you now a sound bite from a news conference that occurred minutes ago.
listen,listen.
approximately 12 this fbi agents safely recovered the child has beenheld for nearly a week,at approximately 12 this afternoon fbi agents safely recovered the child who has beenheld hostage for nearly a week.
the 24-hours negotiations deteriorated and mr. was observed holding a gun .,within the past 24-hours negotiations deteriorated and mr. dykes was observed holding a gun.
so again the in this is .,"so again, the suspect in this case is dead."
bilittle boy apparently oka but checked out as precaution a hospital .,the bilittle boy apparently oka but being checked out as a precaution at a local hospital.
i want bring in michael fen who has a frequent guest out the ordeal has hand the pulse this community,i want to bring in pastor michael fen who has been a frequent guest through out the ordeal and has his hand on the pulse of this community.
can you us ?,what can you tell us?
are your at this ?,what are your thoughts at this point?
it almost like a of a relief guess would that this thing has come to an are happy there had to be bloodshed a loss of anybody 's life is tragic thing .,"well it's almost like a breath of -- a relief i guess you would say that this thing has finally come to an end.we are not happy there had to be more bloodshed, a loss of anybody's life is a tragic thing."
extremely happy thankful to thankful to authorities who had a in bringing boy safe,extremely happy and thankful to god thankful to authorities everyone who had a part in bringing this boy safe.
important part is bringing home with family,important part is bringing him home with his family.
do n't have direct contact with boy family but are friends the who does .,you don't have direct contact with the boy's family but you are friends of the pastor who does.
knowing you about the now the boy is reunited do they need foint ?,knowing what you know about the family now that the boy is being reunited what do they need foint?
right now emotionally have got to on the high have ever been .,right now emotionally they have got to be on the greatest high they have ever been on.
i would assume 's like 4-year-old christmas morning a whole lot to the news their child going to reunited with .,i would assume it's like a 4-year-old on christmas morning but a whole lot better to hear the news their child is going to be reunited with them.
next several weeks and they will a lot of and comfort friendship .,the next several weeks and months they will need a lot of love and comfort and friendship.
when actually get out seclusion they have they going to see whole nation have behind them stood behind to meet them,when they actually get out of seclusion which they have been they are going to see the whole nation have stood behind them and stood behind to meet them.
